vehicle_id,vehicle_number,lap,speed
GR86-002-2,2,1,48.38062646370023
GR86-002-2,2,2,12.31443516550258
GR86-004-78,78,1,90.63807265388496
GR86-004-78,78,2,88.96966236345581
GR86-004-78,78,3,127.82689208633094
GR86-004-78,78,4,131.44192307692308
GR86-004-78,78,5,131.42908284023667
GR86-004-78,78,6,131.6227002967359
GR86-004-78,78,7,131.85747399702822
GR86-004-78,78,8,131.83129464285716
GR86-004-78,78,9,131.95096726190476
GR86-004-78,78,10,132.07535714285714
GR86-004-78,78,11,131.60090504451037
GR86-004-78,78,12,131.78905044510387
GR86-004-78,78,13,94.60126193001061
GR86-004-78,78,14,90.90528032619775
GR86-004-78,78,15,130.97686303387334
GR86-004-78,78,16,131.86327893175076
GR86-004-78,78,17,131.76188427299704
GR86-004-78,78,18,130.6720704845815
GR86-004-78,78,19,78.93690115761353
GR86-004-78,78,20,0.9846706586826347
GR86-006-7,7,1,50.112913429522756
GR86-006-7,7,2,89.11094768015795
GR86-006-7,7,3,129.58406386066764
GR86-006-7,7,4,131.71961708394699
GR86-006-7,7,5,131.83601769911505
GR86-006-7,7,6,132.28139013452915
GR86-006-7,7,7,132.39793154761907
GR86-006-7,7,8,132.53645400593473
GR86-006-7,7,9,132.32475555555556
GR86-010-16,16,1,51.279173318129985
GR86-010-16,16,2,89.08396245059289
GR86-010-16,16,3,129.6732703488372
GR86-010-16,16,4,131.28720588235294
GR86-010-16,16,5,131.0022794117647
GR86-010-16,16,6,132.02590841949777
GR86-010-16,16,7,132.23066666666665
GR86-010-16,16,8,132.51690370370372
GR86-010-16,16,9,132.19287833827894
GR86-010-16,16,10,132.42424332344214
GR86-010-16,16,11,132.16755917159765
GR86-010-16,16,12,132.33447407407408
GR86-010-16,16,13,93.1158756476684
GR86-010-16,16,14,89.71458
GR86-010-16,16,15,131.9699557522124
GR86-010-16,16,16,132.04453471196453
GR86-010-16,16,17,131.94488130563798
GR86-010-16,16,18,130.5933382352941
GR86-010-16,16,19,79.05370337477798
GR86-010-16,16,20,0.8446479859894921
GR86-012-8,8,1,95.14766590389016
GR86-012-8,8,2,89.38686315789474
GR86-012-8,8,3,115.52229007633589
GR86-012-8,8,4,122.37877611940299
GR86-012-8,8,5,126.60014164305949
GR86-012-8,8,6,127.09860795454546
GR86-012-8,8,7,127.61425106990013
GR86-012-8,8,8,126.57612446958983
GR86-012-8,8,9,125.90585915492959
GR86-012-8,8,10,127.49460770328103
GR86-012-8,8,11,127.51169034090908
GR86-012-8,8,12,125.84213183730715
GR86-012-8,8,13,125.34868531468531
GR86-012-8,8,14,95.59415957446808
GR86-012-8,8,15,124.26280774550483
GR86-012-8,8,16,127.75639484978541
GR86-012-8,8,17,128.63340028694404
GR86-012-8,8,18,127.76282453637661
GR86-012-8,8,19,69.78505477308295
GR86-012-8,8,20,1.074037412314887
GR86-013-80,80,1,95.12771033013844
GR86-013-80,80,2,89.23983967935872
GR86-013-80,80,3,121.620548696845
GR86-013-80,80,4,126.82380543633762
GR86-013-80,80,5,127.58992805755396
GR86-013-80,80,6,127.93059163059162
GR86-013-80,80,7,111.15790139064475
GR86-013-80,80,8,118.88752688172043
GR86-013-80,80,9,127.24887931034483
GR86-013-80,80,10,127.4343309352518
GR86-013-80,80,11,128.00842485549134
GR86-013-80,80,12,124.24632538569426
GR86-013-80,80,13,125.52907670454546
GR86-013-80,80,14,102.97033642691416
GR86-013-80,80,15,125.25953389830508
GR86-013-80,80,16,129.22083211678833
GR86-013-80,80,17,128.91427947598254
GR86-013-80,80,18,128.48303907380608
GR86-013-80,80,19,75.47
GR86-013-80,80,20,7.729061371841155
GR86-015-31,31,1,90.80267005076142
GR86-015-31,31,2,89.19000994035785
GR86-015-31,31,3,123.11768595041323
GR86-015-31,31,4,80.54655737704918
GR86-015-31,31,5,117.9814323607427
GR86-015-31,31,6,26.31244690397846
GR86-015-31,31,7,121.55889041095891
GR86-015-31,31,8,129.25177583697234
GR86-015-31,31,9,129.03718023255814
GR86-015-31,31,10,128.04122478386168
GR86-015-31,31,11,128.93102898550725
GR86-015-31,31,12,130.5137794117647
GR86-015-31,31,13,130.6961946902655
GR86-015-31,31,14,131.3537573964497
GR86-015-31,31,15,77.71458223394899
GR86-015-31,31,16,11.818801652892562
GR86-016-55,55,1,50.745392045454544
GR86-016-55,55,2,88.86312810327706
GR86-016-55,55,3,129.51076134699855
GR86-016-55,55,4,131.82818862275448
GR86-016-55,55,5,131.08235119047617
GR86-016-55,55,6,132.14898355754858
GR86-016-55,55,7,132.52362686567164
GR86-016-55,55,8,132.45363228699551
GR86-016-55,55,9,132.60098507462686
GR86-016-55,55,10,132.61338323353294
GR86-016-55,55,11,132.63747005988023
GR86-016-55,55,12,131.72558692421993
GR86-016-55,55,13,93.05982180293502
GR86-016-55,55,14,89.81817997977755
GR86-016-55,55,15,131.82318452380954
GR86-016-55,55,16,132.00965773809526
GR86-016-55,55,17,132.27989552238805
GR86-016-55,55,18,130.85255539143282
GR86-016-55,55,19,68.67140201394268
GR86-016-55,55,20,1.031604799400075
GR86-021-86,86,1,96.27148822269808
GR86-021-86,86,2,90.014407960199
GR86-021-86,86,3,122.41534788540245
GR86-021-86,86,4,128.04284285714286
GR86-021-86,86,5,127.74231428571427
GR86-021-86,86,6,127.29402560455192
GR86-021-86,86,7,128.9922910662824
GR86-021-86,86,8,127.9067
GR86-021-86,86,9,128.3123
GR86-021-86,86,10,129.0125035971223
GR86-021-86,86,11,128.61455459770113
GR86-021-86,86,12,125.90005617977528
